# dates,infections,hospitalizations,deaths,mean_r_t
2020-08-29,3432.5132196289624,859.0,8.066531545504963,0.9661186529467612
2020-08-30,3411.883484328243,853.0,8.01723298904453,0.9669457696393015
2020-08-31,3391.8577984298327,847.0,7.9671248011639335,0.9677758838871037
2020-09-01,3372.434787192412,841.0,7.916358165720843,0.9686090773510719
2020-09-02,3353.6281726878274,834.0,7.8650605144438925,0.9694454778409276
2020-09-03,3335.5763209352895,828.0,7.813337139209557,0.9702853020989712
2020-09-04,3318.2679268999195,822.0,7.7612735733517475,0.9711285049093524
2020-09-05,3301.638796466619,816.0,7.708938505018834,0.971974944232704
2020-09-06,3285.6475788400057,810.0,7.656386896809417,0.972824500617608
2020-09-07,3270.2831642472365,804.0,7.6036627918071895,0.9736770597123112
2020-09-08,3255.567539122204,798.0,7.550801687742079,0.9745324906887722
2020-09-09,3241.5094758376417,792.0,7.497864094585484,0.975390583521483
2020-09-10,3228.0949004801087,787.0,7.444930241575825,0.9762510918707915
2020-09-11,3215.306165090865,781.0,7.392097462147946,0.9771138084442299
2020-09-12,3203.1306821361877,776.0,7.339479533746173,0.9779785841356287
2020-09-13,3191.5662724333847,770.0,7.287177569215866,0.9788453162001729
2020-09-14,3180.6129083099363,765.0,7.235260358849579,0.9797139160253756
2020-09-15,3170.2662945850893,760.0,7.183808137438327,0.9805842960987198
2020-09-16,3160.5190625347313,755.0,7.132910699607976,0.9814563763499958
2020-09-17,3151.3638071390774,751.0,7.082662642530367,0.9823300896712831
2020-09-18,3142.7955840223726,746.0,7.033154821606055,0.9832053812885926
2020-09-19,3134.8113138695417,742.0,6.984440058447952,0.9840822019311244
2020-09-20,3127.407858066046,738.0,6.936577022540066,0.9849605021607841
2020-09-21,3120.581369442397,734.0,6.88963057967549,0.9858402319201667
2020-09-22,3114.3277275049363,730.0,6.843669747302236,0.9867213423339853
2020-09-23,3108.643341505245,727.0,6.798762586373167,0.9876037869089996
2020-09-24,3103.525403329457,723.0,6.757022186129119,0.9884875208333224
2020-09-25,3098.971548599607,720.0,6.718016249557117,0.9893724995025492
2020-09-26,3094.9795251622913,716.0,6.681410873995924,0.9902586778440914
2020-09-27,3091.5471419845594,713.0,6.646948447999065,0.9911460105469786
2020-09-28,3088.6724362534005,710.0,6.614425914817273,0.992034452537162
2020-09-29,3086.3538175216368,708.0,6.583674991630442,0.9929239590941635
2020-09-30,3084.5900562719385,705.0,6.554560222382348,0.993814485584712
2020-10-01,3083.38019679259,702.0,6.526976912758375,0.9947059871864765
2020-10-02,3082.723502575513,700.0,6.500845483932684,0.9955984188202617
2020-10-03,3082.619470419779,698.0,6.476106286238224,0.9964917352377842
2020-10-04,3083.067872596579,695.0,6.452754197509748,0.9973858910955915
2020-10-05,3084.068775089744,693.0,6.43078259063557,0.9982808409269383
2020-10-06,3085.622525358933,692.0,6.4101848561929815,0.9991765390585267
2020-10-07,3087.7297333692973,690.0,6.390955276050152,1.0000729395496732
2020-10-08,3090.391266141666,688.0,6.373089055388491,1.0009699961793241
2020-10-09,3093.60825581342,687.0,6.356580078947181,1.0018676624526963
2020-10-10,3097.382108531906,685.0,6.341420660463648,1.002765891592485
2020-10-11,3101.71450629349,684.0,6.327601800310679,1.003664636508679
2020-10-12,3106.6074037396925,683.0,6.315113443181669,1.0045638497630194
2020-10-13,3112.063025860161,682.0,6.303945908694445,1.0054634835422194
2020-10-14,3118.0838694969866,681.0,6.29409081216304,1.006363489640091
2020-10-15,3124.6727069638505,680.0,6.285539182453202,1.0072638194401848
2020-10-16,3131.8325892727776,680.0,6.27828147970445,1.0081644239797332
2020-10-17,3139.5668468843173,679.0,6.272307845091101,1.0090652536998992
2020-10-18,3147.8790913247362,679.0,6.267608561024847,1.0099662586227829
2020-10-19,3156.773216721916,678.0,6.264175713380374,1.0108673882671921
2020-10-20,3166.2534025098826,678.0,6.262001469036471,1.0117685916318981
2020-10-21,3176.324116437051,678.0,6.261078038586697,1.012669817172217
2020-10-22,3186.9901173351795,678.0,6.26139777429948,1.0135710127626765
2020-10-23,3198.256457924096,679.0,6.262953411071452,1.014472125687898
2020-10-24,3210.128487732012,679.0,6.265644560194258,1.0153731026267692
2020-10-25,3222.611856343567,679.0,6.269473542378047,1.016273889632195
2020-10-26,3235.7125170044205,680.0,6.274442719186759,1.0171744321197478
2020-10-27,3249.4367303565023,681.0,6.280554646184603,1.0180746748527745
2020-10-28,3263.7910683407877,682.0,6.287812402162538,1.0189745619392105
2020-10-29,3278.7824182728696,682.0,6.296219979609626,1.019874036836565
2020-10-30,3294.41798716508,684.0,6.305782053184968,1.0207730423671157
2020-10-31,3310.7053063452277,685.0,6.316503781743046,1.0216715207483376
2020-11-01,3327.6522363627896,686.0,6.328390801698231,1.022569413642935
